UNNAMED: 0;PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;STATUS;ETAPA;OBS;AVANÇO;SUPERVISOR;AR;CARTEIRA;V. PROJETO;VALOR REAL;PIN;PLANO;AVANÇO.1;OBRA SIMPLIFICADA;CRITÉRIO;LATITUDE;LONGITUDE;MAPS;REFERÊNCIA;SI PG;PG'S;VISITA PRÉVIA;PRÉ-FECHAMENTO;LINK PROJETO;SOL. DE RESERVA NO CES;DT. SEPARAÇÃO CES;DT. SAQUE DE MATERIAIS;PES ENCAB. BT/ ENERG.;RESUMO ENCAB. BT/ENERG.;PES LV;RESUMO LV;PES PD;RESUMO PES PD;DATA PD;STATUS PES PD;CLIET.;PSTP;PST EXEC;% POSTES;CAVP;CAVR;% CAVAS;CONCRETO ENVIADO;PROVAVEL ROCHA;DT I PROG;DT F PROG;DT REPROG;OBRA MIGRADA;DT I REAL;DT F REAL;ENERGIZAÇÃO;AS BUILT;DEVOLUÇÃO;BOOK/EVIDÊNCIAS;COORD;CARTEIRA_FATO;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9102353551;B-1230988;UB-CIND-RUA-ANTONIO ZAMBELE-CENTRO;CALDEIRÃO GRANDE;JOSE MISAEL;ENERGIZADA;ENERGIZADA;;;ANDERSON;RAFAEL CRUZ;12/12/25;R$ 20.714,21;R$ 5.729,53;7.1.1.3;PLANO 7;100%;NÃO;QLP;-11,016583;-40,294899;;R012360;;E919805 AO E919807;;LANÇADO CONCRETO - 24/12/2025;18/12/2025;30/12/2025;12/01/26;;N;;CRIAR;INSTALAR POSTE 11400D, N1, ENTRE OS POSTES R012358 E R012357.;2026-9885;DESLIG. TRAFO J04245 INTERCALAR POSTE BT 9600D, FLBIT, S4 ENTRE OS POSTES R012359  E  R012360 E ENCABEÇAR REDE BT E ENERGIZAR OBRA.;23/01;;1;2;2,00;;;;;2;;12/01/2026;14/01/2026;23/01/2026;;;22/01/2026;22/01/2026;OK;PENDENTE;;JACOBINA;2026-01-01;1230988;Consolidado;N/A
9102351641;B-1230997;UB-CIND-RUA-JOAO DA SILVA LIMA-UMBURANAS;UMBURANAS;ALESSANDRO, ANTONIO;ENERGIZADA;ENERGIZADA;detonação 31/01;;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 14.247,79;R$ 3.380,55;7.1.1.3;PLANO 7;100%;NÃO;QLP;-10,73187;-41,328279;;R046418;;E919906 AO E919907;;24/12/2025;19/12/2025;;16/01/2026;;2026-4353;ENCABEÇAMENO DE REDE BT NO POSTE R046418 ENERGIZAR OBRA.;N;;N;;;;2;2;2,00;;;;;2;;25/01/2026;30/01/2026;;;29/01/26;30/01/2026;30/01/2026;OK;PENDENTE;;JACOBINA;2026-01-01;1230997;Consolidado;N/A
9102345882;B-1232923;ER-CIND-FAZ-CASTELO-RURAL;CALDEIRÃO GRANDE;JOSE MISAEL;ENERGIZADA;ENERGIZADA;;;ANDERSON;RAFAEL CRUZ;12/12/25;R$ 44.218,25;R$ 12.390,83;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,03353;-40,328471;;D125116;;E919808 AO E919813;;LANÇADO CONCRETO-24/12/2025;19/12/2025;30/12/2025;12/01/26;;2026-4411;ENCABEÇAMENO DE REDE BT NO POSTE D125116 E ENERGIZAR OBRA;CRIAR;INSTALAR POSTE 11400D, N1, ENTRE OS POSTES D125116 E D125115.;N;;;;1;6;6,00;;;;;;;14/01/26;17/01/26;31/01/2026;;;24/01/26;24/01/2026;OK;PENDENTE;;JACOBINA;2026-01-01;1232923;Consolidado;N/A
9102356581;B-1234710;ER-CIND-POV-BERNARDO-RURAL-VARZEA NOVA;VÁRZEA NOVA;EUDARIO;ENERGIZADA;ENERGIZADA;ENERGIZA HOJE;;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 15.777,43;R$ 2.114,06;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,256663;-40,968621;;B872220;;E919824;;26/12/2025;19/12/2025;;16/01/2026;;2026-4932;ENCABEÇAMENO DE REDE BT NO POSTE PROJETADO NO POSTE B872220  ENERGIZAR OBRA.;N;;N;;;;1;1;1,00;;;;;1;;30/01/26;31/01/26;;;29/01/2026;29/01/2026;29/01/2026;PENDENTE;PENDENTE;;JACOBINA;2026-01-01;1234710;Consolidado;N/A
9102341444;B-1233522;ER-CIND-POV-GITIRANA-GITIRANA;OUROLÂNDIA;EUDARIO;ENERGIZADA;ENERGIZADA;linha viva;;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 8.728,01;R$ 2.552,98;7.1.2.3;PLANO 7;100%;NÃO;QLP;-10,8808;-41,218812;;D088382;;E919815;;26/12/2025;19/12/2025;;16/01/2026;;2026-4975;LANÇAMENTO DE RED BT DO POSTE D088382 AO  D088381 ENERGIZAR OBRA.;CRIAR;INTERCALAR POSTE MT 11400D N1 ENTRE OS POSTES D088382 E D088381 ENERGIZAR OBRA.;N;;;;1;1;1,00;;;;;;;29/01/2026;30/01/2026;;;28/01/26;28/01/26;28/01/2026;PENDENTE;PENDENTE;;JACOBINA;2026-01-01;1233522;Consolidado;N/A
9102349359;B-1233262;ER-CIND-FAZ-PAULISTA-RURAL;GAVIÃO;HERMOGENES;ENERGIZADA;ENERGIZADA;- programarar maquina cava;;ANDERSON;MANOEL CONCEIÇAO;12/12/25;R$ 41.260,54;R$ 10.552,79;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,446202;-39,758259;;B142198;;E919816 AO E919820;;26/12/2025;19/12/2025;30/12/2025;12/01/26;;N;;CRIAR;INTERCALAR POSTE MT N1,12/600 E BANCADA DE TRAFO ENTRE OS POSTES B142197 E B142198. LM FECHAR CHAVE DO TRAFO PROJETADO  ENERGIZAR OBRA.;N;;;;1;5;5,00;;;;;5;;30/01/2026;30/01/2026;;;;24/01/26;24/01/2026;ok;PENDENTE;;JACOBINA;2026-01-01;1233262;Consolidado;N/A
9102350072;B-1229319;UB-CIND-RUA-BOM JARDIM-JARDIM FORMOSA;CAPIM GROSSO;JOSE MISAEL;ENERGIZADA;ENERGIZADA;CAVADA;;ANDERSON;MANOEL CONCEIÇAO;12/12/25;R$ 15.777,43;R$ 4.108,27;7.1.1.3;PLANO 7;100%;NÃO;QLP;-11,381649;-40,020619;;D535516;;E919821 AO E919822;;LANÇADO CONCRETO-26/12/2025;19/12/2025;;16/01/2026;;2026-5021;ENCABEÇAMENO DE REDE BT NO POSTE D535516 ENERGIZAR OBRA.;N;;N;;;;1;2;2,00;;;;;2;;18/01/26;18/01/26;29/01/2026;;;21/01/26;21/01/2026;ok;PENDENTE;;JACOBINA;2026-01-01;1229319;Consolidado;N/A
9102366515;B-1236192;ER-CIND-POV-DO JIL -RURAL;VÁRZEA NOVA;ANTONIO;ENERGIZADA;ENERGIZADA;falta colocar trafo, cabo pot;;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 15.777,43;R$ 2.640,13;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,23746;-40,844074;;R030682;;E919823;;26/12/2025;19/12/2025;;16/01/2026;;N;;CRIAR;INTERCALAR POSTE MT N1,12/600 E BANCADA DE TRAFO ENTRE OS POSTES R030683 E R030682. LM FECHAR CHAVE DO TRAFO PROJETADO  ENERGIZAR OBRA.;N;;;;1;1;1,00;;;;;;;27/01/26;29/01/26;;;;28/01/26;28/01/2026;PENDENTE;PENDENTE;;JACOBINA;2026-01-01;1236192;Consolidado;N/A
9102366050;B-1235815;ER-CIND-FAZ-CURRAL DE PEDRA-MELANCIA;CAPIM GROSSO;JOSE MISAEL;ENERGIZADA;ENERGIZADA;;;ANDERSON;MANOEL CONCEIÇAO;12/12/25;R$ 15.777,43;R$ 11.936,46;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,387109;-39,986817;;E811222;;E919767 AO E919772;;LANÇADO CONCRETO-26/12/2025;19/12/2025;;16/01/2026;;2026-5080;ENCABEÇAMENO DE REDE BT NO POSTE E811222 ENERGIZAR OBRA.;N;;N;;;;1;6;6,00;;;;;6;;19/01/26;19/01/26;;;;19/01/26;19/01/2026;ok;PENDENTE;;JACOBINA;2026-01-01;1235815;Consolidado;N/A
9102357646;B-1235661;ER-CIND-FAZ-CARAIBAS S N-RURAL;QUIXABEIRA;JOSE MISAEL;ENERGIZADA;ENERGIZADA;;;ANDERSON;RAFAEL CRUZ;12/12/25;R$ 15.777,43;R$ 5.785,83;7.1.2.3;PLANO 14;100%;NÃO;QLP;-11,439554;-40,085711;;D099183;;E919681 AO E919683;;26/12/2025;19/12/2025;;19/01/2026;;2026-5209;ENCABEÇAMENO DE REDE BT NO POSTE D099183 ENERGIZAR OBRA.;N;;N;;;;1;3;3,00;;;;;3;;31/01/26;31/01/26;;;;27/01/26;27/01/2026;OK;PENDENTE;;JACOBINA;2026-01-01;1235661;Consolidado;N/A
9102345317;B-1231687;ER-CIND-FAZ-UMBURANA-RURAL;GAVIÃO;HERMOGENES;ENERGIZADA;ENERGIZADA;;;ANDERSON;MANOEL CONCEIÇAO;12/12/25;R$ 15.777,43;R$ 12.225,16;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,556204;-39,822463;;D922771;;E919744 AO E919749;;26/12/2025;22/12/2025;;16/01/2026;;2026-5230;FECHAR CHAVE DE TRAFO PROJETADO  LANÇAR REDE BT E ENERGIZAR OBRA.;CRIAR;INTERCALAR POSTE MT N1,11/600 E BANCADA DE TRAFO ENTRE OS POSTES D569708 E D569707 NENERGIZAR OBRA;N;;;;1;6;6,00;;;;;6;;15/01/2026;16/01/2026;30/01/2026;;09/01/26;27/01/26;27/01/2026;ok;PENDENTE;;JACOBINA;2026-01-01;1231687;Consolidado;N/A
9102354397;B-1234987;ER-CIND-FAZ-UMBUZEIRO DA ONCA 9997-RURAL;CAPIM GROSSO;JOSE MISAEL;ENERGIZADA;ENERGIZADA;;;ANDERSON;MANOEL CONCEIÇAO;12/12/25;R$ 15.777,43;R$ 9.879,90;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,37089;-39,942358;;D183979;;E919732 AO E919736;;LANÇADO CONCRETO-26/12/2025;19/12/2025;;16/01/2026;;2026-5270;ENCABEÇAMENO DE REDE BT NO POSTE D183979 ENERGIZAR OBRA.;N;;N;;;;1;5;5,00;;;;;5;;20/01/26;20/01/26;;;19/01/26;19/01/26;19/01/26;ok;PENDENTE;;JACOBINA;2026-01-01;1234987;Consolidado;N/A
9102344431;B-1231936;ER-CIND-POV-ALAZAO 88888-RURAL;OUROLÂNDIA;EUDARIO;ENERGIZADA;ENERGIZADA;ENERGIZA HOJE;;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 15.777,43;R$ 1.919,93;7.1.2.3;PLANO 7;100%;NÃO;QLP;-10,889635;-41,042209;;D329321;;;;29/12/2025;19/12/2025;;16/01/2026;;N;;N;;2026-557;DESLIG. TRAFO W40475 458197-2-10.0kVA SUBSTITUIR POR TRAFO DE I-3F-30KVA E REALIZAR BARRAMENTO DE REDE BT ENTRE OS POSTES D329320 E D329322 ENERGIZAR OBRA.;19/01/26;;1;0;;;;;;;;13/01/2026;19/01/2026;19/01/2026;;29/01/2026;29/01/2026;29/01/2026;PENDENTE;PENDENTE;;JACOBINA;2026-01-01;1231936;Consolidado;N/A
9102344391;B-1233145;ER-CIND-FAZ-ALAGOAS-RURAL-OUROLANDIA;OUROLÂNDIA;EUDARIO;ENERGIZADA;ENERGIZADA;ENERGIZA HOJE;;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 23.623,41;R$ 2.595,39;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,006616;-41,040262;;D353280;;E919814;;24/12/2025;19/12/2025;;16/01/2026;;;;CRIAR;INTERCALAR POSTE MT 11600D, N1M E BANCADA DE TRAFO ENTRE OS POSTES D353280 E D353279 ENERGIZAR OBRA;N;;;;1;1;1,00;;;;;1;;27/01/2026;28/01/2026;;;29/01/2026;29/01/2026;29/01/2026;PENDENTE;PENDENTE;;JACOBINA;2026-01-01;1233145;Consolidado;N/A
9102353363;B-1234134;ER-CIND-FAZ-CASTELO 164-RURAL;CALDEIRÃO GRANDE;JOSE MISAEL;ENERGIZADA;ENERGIZADA;;;ANDERSON;RAFAEL CRUZ;12/12/25;R$ 15.777,43;R$ 841,60;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,028087;-40,313714;;B380325;;;;29/12/2025;19/11/2025;30/12/2025;12/01/26;;2026-5558;ENCABEÇAMENO DE REDE BT NO POSTE B380325 E ENERGIZAR OBRA;N;;N;;;;1;0;0,00;;;;;;;19/01/26;19/01/26;;;;23/01/26;23/01/2026;OK;PENDENTE;;JACOBINA;2026-01-01;1234134;Consolidado;N/A
9102341194;B-1229329;UB-CIND-RUA-ITAMAR FRANCO-JAR FORMOSA;CAPIM GROSSO;JOSE MISAEL;ENERGIZADA;ENERGIZADA;CAVADA;;ANDERSON;MANOEL CONCEIÇAO;12/12/25;R$ 15.777,43;R$ 3.769,08;7.1.1.3;PLANO 7;100%;NÃO;QLP;-11,381719;-40,025913;;E084796;;E919826 AO E919827;;LANÇADO POSTE FIBRA-07/01/2026;19/12/2025;;19/01/2026;;2026-5650;ENCABEÇAMENO DE REDE BT NO POSTE E084796 ENERGIZAR OBRA.;N;;N;;;;2;2;2,00;;;;;2;;22/01/26;22/01/26;;;;22/01/26;22/01/2026;ok;PENDENTE;;JACOBINA;2026-01-01;1229329;Consolidado;N/A
9102225312;B-1199651;ER-CIND-POV-RURAL-RURAL;UMBURANAS;ALESSANDRO, EUDARIO;ENERGIZADA;ENERGIZADA;falta trafo e enrgizar;;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 15.777,43;R$ 14.921,50;7.1.2.3;PLANO 7;100%;NÃO;QLP;-10,671252;-41,391577;;R071152;;E919737 AO E919743;;29/12/2025;22/12/2025;30/12/2025;12/01/26;;N;;CRIAR;INTERCALAR POSTE MT 12600D, N1M E BANCADA DE TRAFO ENTRE OS POSTES R071152 E R071153 LM FECHAR CHAVE DO TRAFO PROJETADO ENERGIZAR OBRA;N;;;;2;7;7,00;;;;;;;13/01/2026;16/01/2026;30/01/2026;;13/01/26;27/01/26;27/01/2026;OK;PENDENTE;;JACOBINA;2026-01-01;1199651;Consolidado;N/A
9102365525;B-1236040;ER-CIND-FAZ-DIAMANTINA-RURAL-UMBURANAS;UMBURANAS;ALESSANDRO, EUDARIO;CARTEIRA;VISITA PREVIA;obra de avanço - FALTA ALÇA;SIM;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 15.777,43;R$ 48.490,69;7.1.2.3;PLANO 7;100%;NÃO;QLP;-10,55443;-40,986972;;B034817;1046196;E937156 AO E937178;;29/12/2025;29/12/2025;30/12/2025;12/01/26;;2026-5723;SUBSTITUIR POSTE BT POR MT  E TRANSFERENCIA DE REDE BT ENTRE OS POSTES B034818 E B034819 ENERGIZAR OBRA.;CRIAR;ENCABEÇAMENTO DE REDE MT N3 P/ N4 NO POSTE B034817 ENERGIZAR OBRA.;N;;;;1;25;;;;;;;;15/01/2026;23/01/2026;;;;;;;;;JACOBINA;2026-01-01;1236040;Consolidado;N/A
9102247255;B-1205911;ER-CIND-POV-JOAO DELMIRO 266-RURAL;OUROLÂNDIA;EUDARIO;INICIADA;IMPLANTAÇÃO;obra de avanço - FALTA ALÇA;SIM;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 15.777,43;R$ 32.475,22;7.1.2.3;PLANO 7;100%;NÃO;QLP;-10,831583;-41,297679;;B534756;1046200;E937206 AO E937218;;29/12/2025;29/12/2025;30/12/2025;12/01/26;;N;;;ENCABEÇAMENTO DE REDE MT N1 P/ N1-3 NO POSTE B534756.;2026-2269;DESLIG. TRAFO G30263  PARA REALOCAÇÃO DO MESMO E SUBSTITUIÇÃO DE POSTE BT POR MT NOS POSTES B534757 E B534758.;21/01/26;;1;15;9,00;;;;;;;12/01/2026;20/01/2026;21/01/2026;;;;;;;CAVA EM ROCHA 14;JACOBINA;2026-01-01;1205911;Consolidado;N/A
9101900215;B-1079517;ER-CIND-POV-SALINAS-SALINAS;VÁRZEA NOVA;EUDARIO;INICIADA;IMPLANTAÇÃO;obra de avanço - FALTA ALÇA -;SIM;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 15.777,43;R$ 28.569,18;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,221493;-40,941871;;Q131666;1046206;E937256 AO E937263;;29/12/2025;29/12/2025;30/12/2025;12/01/26;;N;;CRIAR;INSTALAR POSTE 11600D, N1-3, ENTRE OS POSTES Q131666  E  Q131667 REALOCAR CHAVE FUSIVEL N02261 ENERGIZAR OBRA;2026-4585;DESLIG. CHAVE N02261 RETIRAR CONDUTOR NU, RETIRAR POSTE 9 A 14 METROS , RETIRAR TRAFO MONOFASICO.;29/01;;1;15;4,00;;;22/01/26;;;;05/01/2026;13/01/2026;28/01/2025;;;;;;;;JACOBINA;2026-01-01;1079517;Consolidado;N/A
9101893892;B-1079863;ER-CIND-FAZ-MATA DO MEL-RURAL;VÁRZEA NOVA;ANTONIO;INICIADA;ALOCAÇÃO;obra de avanço  - FALTA ALÇA;SIM;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 15.777,43;;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,152228;-40,839949;;D531135;1046221;E937306 AO E937319;;;29/12/2025;;16/01/2026;;N;;CRIAR;INTERCALAR POSTE MT N1-3,11/600  ENTRE OS POSTES D531135 E D531136. LM FECHAR CHAVE DO TRAFO PROJETADO  ENERGIZAR OBRA.;N;;;;1;14;;;;;;;;14/01/26;20/01/26;;;;;;;;;JACOBINA;2026-01-01;1079863;Consolidado;N/A
